kommun_kod,kommun_namn,population
2409,Robertsfors,6692
2417,Norsjö,3981
2418,Malå,2959
2421,Storuman,5591
2422,Sorsele,2354
2425,Dorotea,2308
2460,Vännäs,9111
2462,Vilhelmina,6232
2463,Åsele,2694
2480,Umeå,134155
2481,Lycksele,12137
2482,Skellefteå,78539
2505,Arvidsjaur,6067
2506,Arjeplog,2607
2510,Jokkmokk,4680
2513,Överkalix,3201
2514,Kalix,15432
2518,Övertorneå,4054
2521,Pajala,5864
2523,Gällivare,17234
2560,Älvsbyn,7778
2580,Luleå,79662
2581,Piteå,42399
2582,Boden,28055
2583,Haparanda,9128
2584,Kiruna,22422
